PaymentID,CustomerID,CardID,DateID,BillAmount,PaymentAmount,DueDate,PaymentDate,DaysPastDate,PaymentStatus
PAY000001,10001,215,20230305,10795.0,3735.83,2023-02-20,2023-03-05,13,Partial Payment
PAY000002,10001,215,20230403,14488.0,8269.44,2023-03-20,2023-04-03,14,Partial Payment
PAY000003,10001,215,20230505,11753.0,5705.82,2023-04-20,2023-05-05,15,Partial Payment
PAY000004,10001,215,20230529,11559.0,5010.56,2023-05-20,2023-05-29,9,Partial Payment
PAY000005,10001,215,20230621,17355.0,4527.0,2023-06-20,2023-06-21,1,Partial Payment
PAY000006,10001,215,20230727,6050.0,1578.07,2023-07-20,2023-07-27,7,Partial Payment
PAY000007,10001,215,20230829,8635.0,1922.61,2023-08-20,2023-08-29,9,Partial Payment
PAY000008,10001,215,20230929,25875.0,13915.8,2023-09-20,2023-09-29,9,Partial Payment
PAY000009,10001,215,20231103,18759.0,8149.56,2023-10-20,2023-11-03,14,Partial Payment
PAY000010,10001,215,20231122,17715.0,8434.97,2023-11-20,2023-11-22,2,Partial Payment
PAY000011,10001,215,20231227,12338.0,2566.65,2023-12-20,2023-12-27,7,Partial Payment
PAY000012,10001,215,20240128,7713.0,4460.16,2024-01-20,2024-01-28,8,Partial Payment
PAY000013,10001,215,20240226,19493.0,10227.05,2024-02-20,2024-02-26,6,Partial Payment
PAY000014,10001,215,20240503,13113.0,3708.52,2024-04-20,2024-05-03,13,Partial Payment
PAY000015,10001,215,20240523,15880.0,4302.08,2024-05-20,2024-05-23,3,Partial Payment
PAY000016,10001,215,20240627,16119.0,4376.76,2024-06-20,2024-06-27,7,Partial Payment
PAY000017,10001,215,20240824,7931.0,2527.25,2024-08-20,2024-08-24,4,Partial Payment
PAY000018,10001,215,20240928,21358.0,8642.62,2024-09-20,2024-09-28,8,Partial Payment
PAY000019,10001,215,20241024,18272.0,6732.47,2024-10-20,2024-10-24,4,Partial Payment
PAY000020,10001,215,20241222,10476.0,3285.06,2024-12-20,2024-12-22,2,Partial Payment
PAY000021,10001,215,20250121,5538.0,2429.09,2025-01-20,2025-01-21,1,Partial Payment
PAY000022,10001,215,20250225,24386.0,6203.86,2025-02-20,2025-02-25,5,Partial Payment
PAY000023,10001,215,20250329,829.0,260.25,2025-03-20,2025-03-29,9,Partial Payment
PAY000024,10001,215,20250429,9894.0,3392.47,2025-04-20,2025-04-29,9,Partial Payment
PAY000025,10001,215,20250603,13884.0,5246.31,2025-05-20,2025-06-03,14,Partial Payment
PAY000026,10001,215,20250623,8226.0,4164.15,2025-06-20,2025-06-23,3,Partial Payment
PAY000027,10001,215,20250803,18559.0,5157.04,2025-07-20,2025-08-03,14,Partial Payment
PAY000028,10001,215,20250829,7255.0,2906.0,2025-08-20,2025-08-29,9,Partial Payment
PAY000029,10001,215,20251002,20781.0,8957.48,2025-09-20,2025-10-02,12,Partial Payment
PAY000030,10001,215,20251028,14992.0,3269.99,2025-10-20,2025-10-28,8,Partial Payment
PAY000031,10001,215,20251205,16564.0,7237.52,2025-11-20,2025-12-05,15,Partial Payment
PAY000032,10001,215,20251231,22189.0,5913.47,2025-12-20,2026-01-03,14,Partial Payment
PAY000033,10001,215,20251231,18892.0,4257.69,2026-01-20,2026-01-22,2,Partial Payment
PAY000034,10002,206,20230206,967.0,855.47,2023-02-20,2023-02-06,0,Partial Payment
PAY000035,10002,206,20230411,5068.0,4508.95,2023-04-20,2023-04-11,0,Partial Payment
PAY000036,10002,206,20230717,1658.0,1396.9,2023-07-20,2023-07-17,0,Partial Payment
